,NAME_MUNICIPIO,CODE_SEF-MG,MUNICIPIO
281,PORECATU,214,7779
282,PORTO AMAZONAS,215,7781
283,PORTO BARREIRO,391,872
284,PORTO RICO,216,7783
285,PORTO VITORIA,217,7785
286,PRADO FERREIRA,392,874
287,PRANCHITA,218,7991
288,PRESIDENTE CASTELO BRANCO,219,7787
289,PRIMEIRO DE MAIO,220,7789
290,PRUDENTOPOLIS,221,7791
291,QUARTO CENTENARIO,393,876
292,QUATIGUA,222,7793
293,QUATRO BARRAS,223,7795
294,QUATRO PONTES,357,5535
295,QUEDAS DO IGUACU,224,7955
296,QUERENCIA DO NORTE,225,7797
297,QUINTA DO SOL,226,7799
298,QUITANDINHA,227,7801
299,RAMILANDIA,358,5527
300,RANCHO ALEGRE,228,7803
301,RANCHO ALEGRE D'OESTE,359,5513
302,REALEZA,229,7805
303,REBOUCAS,230,7807
304,RENASCENCA,231,7809
305,RESERVA,232,7811
306,RESERVA DO IGUACU,394,878
307,RIBEIRAO CLARO,233,7813
308,RIBEIRAO DO PINHAL,234,7815
309,RIO AZUL,235,7817
310,RIO BOM,236,7819
311,RIO BONITO DO IGUACU,360,5481
312,RIO BRANCO DO IVAI,395,880
313,RIO BRANCO DO SUL,237,7821
314,RIO NEGRO,238,7823
315,ROLANDIA,239,7825
316,RONCADOR,240,7827
317,RONDON,241,7829
318,ROSARIO DO IVAI,321,8473
319,SABAUDIA,242,7831
320,SALGADO FILHO,243,7833
321,SALTO DO ITARARE,244,7835
322,SALTO DO LONTRA,245,7837
323,SANTA AMELIA,246,7839
324,SANTA CECILIA DO PAVAO,247,7841
325,SANTA CRUZ DO MONTE CASTELO,248,7843
326,SANTA FE,249,7845
327,SANTA HELENA,250,7971
328,SANTA INES,251,7847
329,SANTA ISABEL DO IVAI,252,7849
330,SANTA IZABEL DO OESTE,253,7851
331,SANTA LUCIA,361,5469
332,SANTA MARIA DO OESTE,362,5505
333,SANTA MARIANA,254,7853
334,SANTA MONICA,363,5519
335,SANTA TEREZA DO OESTE,322,9969
336,SANTA TEREZINHA DE ITAIPU,255,8467
337,SANTANA DO ITARARE,256,7855
338,SANTO ANTONIO DA PLATINA,257,7859
339,SANTO ANTONIO DO CAIUA,258,7861
340,SANTO ANTONIO DO PARAISO,259,7863
341,SANTO ANTONIO DO SUDOESTE,260,7857
342,SANTO INACIO,261,7865
343,SAO CARLOS DO IVAI,262,7867
344,SAO JERONIMO DA SERRA,263,7869
345,SAO JOAO,264,7871
346,SAO JOAO DO CAIUA,265,7873
347,SAO JOAO DO IVAI,266,7875
348,SAO JOAO DO TRIUNFO,267,7877
349,SAO JORGE DO IVAI,269,7879
350,SAO JORGE DO PATROCINIO,270,7999
351,SAO JORGE D'OESTE,268,7881
352,SAO JOSE DA BOA VISTA,271,7883
353,SAO JOSE DAS PALMEIRAS,272,8471
354,SAO JOSE DOS PINHAIS,273,7885
355,SAO MANOEL DO PARANA,400,5515
356,SAO MATEUS DO SUL,274,7887
357,SAO MIGUEL DO IGUACU,275,7889
358,SAO PEDRO DO IGUACU,401,5489
359,SAO PEDRO DO IVAI,276,7891
360,SAO PEDRO DO PARANA,277,7893
361,SAO SEBASTIAO DA AMOREIRA,278,7895
362,SAO TOME,279,7897
363,SAPOPEMA,280,7899
364,SARANDI,281,8461
365,SAUDADE DO IGUACU,364,5493
366,SENGES,282,7901
367,SERRANOPOLIS DO IGUACU,396,882
368,SERTANEJA,283,7903
369,SERTANOPOLIS,284,7905
370,SIQUEIRA CAMPOS,285,7907
371,SULINA,323,8477
372,TAMARANA,397,884
373,TAMBOARA,286,7909
374,TAPEJARA,287,7911
375,TAPIRA,288,7973
376,TEIXEIRA SOARES,289,7913
377,TELEMACO BORBA,290,7915
378,TERRA BOA,291,7917
379,TERRA RICA,292,7919
380,TERRA ROXA,293,7921
